"ISO_A3"	"NATION"	"Containers full 20'"	"Containers full 40'"	"Containers empty 20'"	"Containers empty 40'"	"TEUS"	"Containerised Cargo"	"Conventional Cargo"	"Solid Bulk"	"Liquid Bulk"	"TOTAL"
"TZA"	"Tanzania"	560	41	361	836	2675	16802.24	72.99	0	0	16875.23
"THA"	"Thailand"	1267	590	0	0	2447	36254.6	185	0	0	36439.6
"TGO"	"Togo"	2	149	229	157	843	3969.14	0	0	0	3969.14
"TTO"	"Trinidad"	1	0	0	0	1	24	0	0	0	24
"TUN"	"Tunisia"	752	597	5535	4801	17083	60932.22	630582.52	25449	217663	934626.74
"TUR"	"Turkey"	3452	6329	2223	5602	29537	223281.05	4372.27	28690	836133	1092476.32
"UKR"	"Ukraine"	0	0	0	0	0	0	13888.7	35018	340590	389496.7
"ARE"	"United Arab Emirates"	6850	4531	536	2070	20588	282914.49	2040.65	0	261452	546407.14
"USA"	"United States of America"	6030	13822	3063	6885	50507	422057.21	4527.64	229521	234748	890853.85
"URY"	"Uruguay"	130	504	101	227	1693	18517.42	0	0	0	18517.42
"VEN"	"Venezuela"	0	0	2	0	2	4	310.45	0	0	314.45
"VNM"	"Vietnam"	672	830	0	0	2332	24997.53	0	0	0	24997.53
"COD"	"Zaire"	0	0	0	0	0	0	1999	0	0	1999
