"id","Nome","Merce","Unit","gen-12","feb-12","mar-12","apr-12","mag-12","giu-12","lug-12","ago-12","set-12","ott-12","nov-12","dic-12"
"enipetrolig","ENI / PETROLIG","olii minerali","tons",26065,23948,23184,43494,74237,47151,35095,50608,28235,34041,31411,14197
"silomar","SILOMAR","chimici","tons",21632,11304,29747,13989,21105,24423,14476,23785,30160,26162,10763,14025
"silomar","SILOMAR","olii minerali/biodegradabili","tons",23821,6465,19705,15811,32405,8613,28889,16282,18810,22647,10119,9096
"silomar","SILOMAR","olii vegetali","tons",0,0,0,0,0,0,0,0,0,0,0,0
"saar","S.A.A.R.","olii vegetali","tons",16426,20100,6057,25361,16888,14642,15759,16332,15797,13089,20155,11861
"saar","S.A.A.R.","chimici","tons",0,0,1943,0,2186,2830,2184,2922,0,1570,2517,2938
"saar","S.A.A.R.","olii minerali/biodegradabili","tons",29744,14013,29571,12299,4000,16005,4521,13000,30659,6038,0,6099
"sampolii","SAMPIERDARENA OLII","olii vegetali","tons",5850,9922,5985,6440,8910,0,6250,0,2800,5890,3250,3017
"sampolii","SAMPIERDARENA OLII","vino","tons",8514,6637,8496,5740,5790,7550,13050,0,1800,6250,9226,6320
"sampolii","SAMPIERDARENA OLII","chimici","tons",0,0,0,0,0,0,0,0,1800,0,0,0
"getoil","GETOIL","olii minerali","tons",0,0,1467,0,0,0,17300,4400,12500,3700,1850,2850
