Source;Ports;Target;Destination;Weight
155;Bandar Abbas;0;Genoa;11085
156;Umm Qasr;0;Genoa;577
157;Ashdod;0;Genoa;10648
158;Haifa;0;Genoa;6847
159;Aqaba;0;Genoa;5898
160;Aqaba (El Aqaba);0;Genoa;18
161;Kuwait;0;Genoa;164
162;Shuaiba;0;Genoa;14
163;Shuwaikh;0;Genoa;186
164;Beirut;0;Genoa;3550
165;Tripoli in Lebanon;0;Genoa;0
166;Muscat;0;Genoa;133
167;Port Qaboos;0;Genoa;43
168;Salalah;0;Genoa;1202
169;Sohar;0;Genoa;61
170;Doha;0;Genoa;766
171;Ras Laffan;0;Genoa;0
172;Al Jubail;0;Genoa;3
173;Damman;0;Genoa;10
174;Gizan;0;Genoa;0
175;Jeddah;0;Genoa;28904
176;Latakia;0;Genoa;4
177;Eregli, Zonguldak;0;Genoa;0
178;Aliaga;0;Genoa;313
179;Ambarli;0;Genoa;2068
180;Dikili, Izmir;0;Genoa;0
181;Evyan Port/Kocaeli;0;Genoa;373
182;Fethiye, Mugla;0;Genoa;0
183;Gebze;0;Genoa;5914
184;Gemlik, Bursa;0;Genoa;9756
185;Haydarpasa, Istanbul;0;Genoa;223
186;Iskenderun, Hatay;0;Genoa;17
187;Istanbul;0;Genoa;7210
188;Izmir;0;Genoa;2550
189;Mersin, Icel;0;Genoa;866
190;Abu Dhabi;0;Genoa;1159
191;Ajman;0;Genoa;3
192;Dubai;0;Genoa;5
193;Fujairah;0;Genoa;15
194;Jebel Ali;0;Genoa;46686
195;Khor al Fakkan;0;Genoa;14026
196;Mina Khalifa/Abu Dhabi;0;Genoa;0
197;Sharjah;0;Genoa;204
198;Hodeidah;0;Genoa;370
199;Antwerpen;0;Genoa;0
200;Ghent;0;Genoa;0
201;Zeebrugge;0;Genoa;0
202;Limassol;0;Genoa;550
203;Kobenhavn;0;Genoa;0
204;Kaskinen;0;Genoa;0
205;Le Havre;0;Genoa;61
206;St. Wandrille-Rancom;0;Genoa;0
207;Bastia;0;Genoa;0
208;Fos-sur-Mer;0;Genoa;6118
209;Lavera;0;Genoa;0
210;Lyon;0;Genoa;0
211;Marseille;0;Genoa;6226
212;Port de Bouc;0;Genoa;0
213;Bremen;0;Genoa;0
214;Bremerhaven;0;Genoa;0
215;Brunsbuettel;0;Genoa;0
216;Hamburg;0;Genoa;3224
217;Gibraltar;0;Genoa;0
218;Bristol;0;Genoa;0
219;Garston;0;Genoa;0
220;Southampton;0;Genoa;0
221;Tilbury;0;Genoa;173
222;Agioi Theodoroi;0;Genoa;0
223;Eleftheres;0;Genoa;0
224;Eleusis;0;Genoa;0
225;Piraeus;0;Genoa;2497
226;Thessaloniki;0;Genoa;0
227;Malta;0;Genoa;8577
228;Marsaxlokk;0;Genoa;37
229;Amsterdam;0;Genoa;0
230;Ijmuiden;0;Genoa;0
231;Rotterdam;0;Genoa;1015
232;Schiedam;0;Genoa;0
233;Aveiro;0;Genoa;0
234;Leixoes;0;Genoa;0
235;Lisboa;0;Genoa;258
236;Setubal;0;Genoa;340
237;Ceuta;0;Genoa;0
238;Santander;0;Genoa;0
239;Algeciras;0;Genoa;31298
