ISO_A3	Nation	"Containers full 20'"	"Containers full 40'"	"Containers empty 20'"	"Containers empty 40'"	TEUS	"Containerised Cargo"	"Conventional Cargo"	"Solid Bulk"	"Liquid Bulk"	TOTAL
MLT	Malta	0.0124516129	0.0058263027	0.0022704715	0.0048163772	0.0360074442	0.4126251613	0.0278312159	0.0000000000	1.2166625310	1.6571189082
MTQ	Martinique	0.0000646801	0.0000184800	0.0000000000	0.0000023100	0.0001062601	0.0019558097	0.0000000000	0.0000000000	0.0000000000	0.0019558097
MUS	Mauritius	0.0001669109	0.0000015455	0.0000000000	0.0000000000	0.0001700018	0.0044173189	0.0000000000	0.0000000000	0.0000000000	0.0044173189
MEX	Mexico	0.0000231442	0.0000147685	0.0000018672	0.0000074776	0.0000695037	0.0010362627	0.0000051237	0.0000000000	0.0000000000	0.0010413864
MAR	Morocco	0.0000320924	0.0000295629	0.0000353807	0.0000639635	0.0002545259	0.0018070932	0.0025359261	0.0009218265	0.0000328829	0.0052977286
MOZ	Mozambique	0.0000483196	0.0000000000	0.0000014052	0.0000153208	0.0000803664	0.0011896606	0.0018801302	0.0000000000	0.0000000000	0.0030697908
MMR	Myanmar	0.0000000187	0.0000000187	0.0000000000	0.0000000000	0.0000000562	0.0000006865	0.0000000000	0.0000000000	0.0000000000	0.0000006865
NAM	Namibia	0.0000004698	0.0000004698	0.0000000000	0.0000000000	0.0000014095	0.0000194553	0.0188976312	0.0000000000	0.0000000000	0.0189170865
NLD	Netherlands	0.0000017423	0.0000057074	0.0000001202	0.0000024031	0.0000180835	0.0002037339	0.0000717333	0.0006729949	0.0001803545	0.0011288165
ANT	"Netherlands Antilles"	0.0000146846	0.0000000000	0.0000000000	0.0000000000	0.0000146846	0.0001516920	0.0000000000	0.0000000000	0.0000000000	0.0001516920
NZL	"New Zealand"	0.0000148156	0.0000246927	0.0000000000	0.0000000000	0.0000642009	0.0011384113	0.0000000000	0.0000000000	0.0000000000	0.0011384113
NIC	Nicaragua	0.0000000000	0.0000003336	0.0000000000	0.0000000000	0.0000006671	0.0000045698	0.0000000000	0.0000000000	0.0000000000	0.0000045698
NGA	Nigeria	0.0000020455	0.0000018182	0.0000088182	0.0000037273	0.0000219545	0.0001156088	0.0000000000	0.0000000000	0.0056286818	0.0057442906
OMN	Oman	0.0008663225	0.0002375563	0.0000181958	0.0002924807	0.0019445924	0.0259480907	0.0000000000	0.0000000000	0.0000000000	0.0259480907
PAK	Pakistan	0.0000031724	0.0000026409	0.0000000108	0.0000002983	0.0000090616	0.0001002684	0.0000000000	0.0000442505	0.0000000000	0.0001445189
