ISO_A3	Nation	"Containers full 20'"	"Containers	full	40'"	"Containers empty 20'"	"Containers empty 40'"	TEUS	"Containerised Cargo"	"Conventional Cargo"	"Solid Bulk"	"Liquid Bulk"	TOTAL
SDN	Sudan	0.0000629429	0.0000543143	0.0000284286	0.0000051714	0.0002103429	0.0023364020	0.0000244623	0.0000000000	0.0000000000	0.0023608643
SUR	Suriname	0.0000446402	0.0000608730	0.0000000000	0.0000000000	0.0001663863	0.0021011548	0.0000000000	0.0000000000	0.0000000000	0.0021011548
SWE	Sweden	0.0000000000	0.0000001046	0.0000000000	0.0000000000	0.0000002093	0.0000019150	0.0000000000	0.0000000000	0.0000000000	0.0000019150
SYR	Syria	0.0000247769	0.0000123434	0.0000000000	0.0000000450	0.0000495538	0.0008302828	0.0001055220	0.0003092155	0.0083478278	0.0095928482
TWN	Taiwan	0.0001326089	0.0001488138	0.0000048484	0.0000530261	0.0005411371	0.0055077219	0.0000000000	0.0000000000	0.0000000000	0.0055077219
TZA	Tanzania	0.0000092856	0.0000044876	0.0000000000	0.0000000000	0.0000182609	0.0002649141	0.0000386999	0.0000000000	0.0000000000	0.0003036140
THA	Thailand	0.0000130572	0.0000100910	0.0000000000	0.0000000000	0.0000332392	0.0004760584	0.0000146819	0.0000000000	0.0000313015	0.0005220418
TGO	Togo	0.0000938178	0.0000759043	0.0000083495	0.0000071350	0.0002682459	0.0034836310	0.0007528010	0.0000000000	0.0000000000	0.0042364320
TTO	Trinidad	0.0000122081	0.0000138359	0.0000000000	0.0000000000	0.0000398798	0.0004134563	0.0000000000	0.0000000000	0.0000000000	0.0004134563
TUN	Tunisia	0.0004919244	0.0004571715	0.0000050052	0.0000072717	0.0014258159	0.0194206256	0.0540627319	0.0000000000	0.0067281926	0.0802115502
TUR	Turkey	0.0000631200	0.0001663537	0.0000076089	0.0000071590	0.0004177542	0.0045439375	0.0001147776	0.0000157318	0.0004682014	0.0051426484
UKR	Ukraine	0.0000001762	0.0000007927	0.0000000000	0.0000000000	0.0000017615	0.0000248626	0.0000000000	0.0000000000	0.0000000000	0.0000248626
ARE	"United Arab Emirates"	0.0016040299	0.0034586832	0.0000114559	0.0000128628	0.0085585778	0.0962512609	0.0020470243	0.0000000000	0.0132900742	0.1115883594
USA	"United States of America"	0.0000685356	0.0001588291	0.0000006769	0.0000006608	0.0003881923	0.0045107894	0.0000102352	0.0000000000	0.0008542164	0.0053752410
URY	Uruguay	0.0001159045	0.0001400633	0.0000097785	0.0001328732	0.0006715559	0.0048607995	0.0000000000	0.0000000000	0.0000000000	0.0048607995
VEN	Venezuela	0.0000323253	0.0000616385	0.0000098078	0.0000001102	0.0001656306	0.0019034627	0.0001123335	0.0000000000	0.0000000000	0.0020157962
VNM	Vietnam	0.0000120909	0.0000120798	0.0000000000	0.0000008820	0.0000380145	0.0005474409	0.0000148039	0.0000000000	0.0000000000	0.0005622448
WSM	"West Samoa"	0.0000000000	0.0000052083	0.0000000000	0.0000000000	0.0000104166	0.0000503122	0.0000000000	0.0000000000	0.0000000000	0.0000503122
YEM	Yemen	0.0000259626	0.0000221320	0.0000064268	0.0000011917	0.0000790369	0.0009104504	0.0000099062	0.0000000000	0.0000000000	0.0009203566
ZWE	Zimbabwe	0.0000000858	0.0000006008	0.0000000000	0.0000000000	0.0000012873	0.0000173423	0.0000000000	0.0000000000	0.0000000000	0.0000173423
