PORTS;Nations;coord;lon;lat
Santa Panagia;Italy;15.2797,37.1086;15.2797;37.1086
Santos;Brazil;-46.2900,-23.8643;-46.2900;-23.8643
Savannah;United States of America;-81.0980,31.9996;-81.0980;31.9996
Savona-Vado;Italy;44.2661,8.4555;44.2661;8.4555
Shanghai;China;121.4915,31.2246;121.4915;31.2246
Shekou;China;113.9161,22.4715;113.9161;22.4715
Sidi Kerir Terminal;Egypt;29.6734,31.0516;29.6734;31.0516
Singapore;Singapore;103.85283,1.29063;103.85283;1.29063
Skikda;Algeria;6.89998164,36.8804219;6.89998164;36.8804219
Tangier Med;Marocco;35.7913,-5.7878;35.7913;-5.7878
Tanjong Pelepas;Malaysia;103.54571,1.3570015;103.54571;1.3570015
Taranto;Italy;17.2997,40.4618;17.2997;40.4618
Tarragona;Spain;1.2546057,41.1172364;1.2546057;41.1172364
Tartous;Syria;35.8851686,34.8936203;35.8851686;34.8936203
Termini Imerese;Italy;37.9872,13.7101;37.9872;13.7101
Tess/Hartlepool;England;-1.2031,54.6947;-1.2031;54.6947
Tianjinxingang;China;117.1980785,39.1235635;117.1980785;39.1235635
Tincan;Nigeria;6.43433,3.34922;6.43433;3.34922
Tokyo;Japan;139.7685224,35.6800712;139.7685224;35.6800712
Tripoli;Libya;13.1800117,32.8925000;13.1800117;32.8925000
Tuapse;Russia;39.07206,44.09864;39.07206;44.09864
Tunis;Tunisia;10.18479,36.80011;10.18479;36.80011
Valencia;Spain;-0.3525,39.4228;-0.3525;39.4228
Veracruz;Mexico;-96.1242,19.2105;-96.1242;19.2105
Xiamen;China;118.1537,24.5029;118.1537;24.5029
Xingang;China;117.7433,38.9788;117.7433;38.9788
Yantian Huangdong;China;114.2830,22.5841;114.2830;22.5841
Yuzhnyy;Ukraine;31.1114,46.6255;31.1114;46.6255
Zawia Terminal;Libya;12.7224,32.7706;12.7224;32.7706
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;#NOME?
;;;;#NOME?
;;;;
;;;;#NOME?
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;#NOME?
;;;;#NOME?
;;;;
;;;;#NOME?
