ISO_A3	Nation	"Containers full 20'"	"Containers full 40'"	"Containers empty 20'"	"Containers empty 40'"	TEUS	"Containerised Cargo"	"Conventional Cargo"	"Solid Bulk"	"Liquid Bulk"	TOTAL
GBR	"Great Britain"	0.0000094629	0.0000060146	0.0000000321	0.0000000962	0.0000217167	0.0003618550	0.0000223098	0.0000403378	0.0000336817	0.0004581843
GRC	Greece	0.0000561818	0.0000531818	0.0000054545	0.0000010909	0.0001701818	0.0023548664	0.0000000000	0.0008775455	0.0027923636	0.0060247755
GRD	Grenada	0.0000000000	0.0000092749	0.0000000000	0.0000000000	0.0000185498	0.0002263073	0.0000000000	0.0000000000	0.0000000000	0.0002263073
GLP	Guadeloupe	0.0018419865	0.0013521445	0.0000000000	0.0000000000	0.0045462754	0.0571539052	0.0000677201	0.0000000000	0.0000000000	0.0572216253
GUM	Guam	0.0000627518	0.0000062752	0.0000000000	0.0000000000	0.0000753021	0.0007709685	0.0000000000	0.0000000000	0.0000000000	0.0007709685
GTM	Guatemala	0.0000065681	0.0000072322	0.0000035423	0.0000007380	0.0000260508	0.0002565644	0.0007494819	0.0000000000	0.0000000000	0.0010060463
GIN	Guinea	0.0000024215	0.0000060054	0.0000000000	0.0000000000	0.0000144324	0.0001604665	0.0000945639	0.0000000000	0.0000000000	0.0002550304
GUY	Guyana	0.0000106882	0.0000066802	0.0000000000	0.0000000000	0.0000240485	0.0003014752	0.0000000000	0.0000000000	0.0000000000	0.0003014752
HTI	Haiti	0.0000038346	0.0000047674	0.0000000000	0.0000000000	0.0000133694	0.0001544079	0.0000000000	0.0000000000	0.0000000000	0.0001544079
HND	Honduras	0.0000010013	0.0000023781	0.0000000000	0.0000000000	0.0000057576	0.0000541704	0.0000000000	0.0000000000	0.0000000000	0.0000541704
IND	India	0.0000047037	0.0000057463	0.0000000170	0.0000000452	0.0000163037	0.0002014042	0.0000040201	0.0000000000	0.0000012787	0.0002067029
