ISO_A3	Nation	Containers full 20'	"Containers	full	40'"	Containers empty 20'	Containers empty 40'	TEUS	Containerised Cargo	Conventional Cargo	Solid Bulk	Liquid Bulk	TOTAL
SYC	Seychelles	296	62	0	0	420	7105.56	0	0	0	7105.56
SLE	Sierra Leone	29	16	0	0	61	848.95	13	0	0	861.95
SGP	Singapore	10396	10184	335	523	32145	401078.5	1950	0	0	403028.5
SVN	Slovenia	3	0	11	0	14	101.25	924.56	0	0	1025.81
SOM	Somalia	1	0	0	0	1	8.2	0	0	0	8.2
ZAF	South Africa	5733	4748	64	6	15305	184939.77	3338.7	0	0	188278.47
KOR	South Korea	4649	6954	991	927	21402	222230.75	23	0	0	222253.75
ESP	Spain	5685	4810	10658	2283	30529	241286.28	252738.37	128703	52753	675480.65
LKA	Sri Lanka	1481	2050	222	874	7551	68625.99	0	0	0	68625.99
KNA	St Kitts. Nevis	1	0	0	0	1	6.8	0	0	0	6.8
VCT	St Vincent	7	2	0	0	11	135.49	0	0	0	135.49
SDN	Sudan	2203	1901	995	181	7362	81774.07	856.18	0	0	82630.25
SUR	Suriname	22	30	0	0	82	1035.51	0	0	0	1035.51
SWE	Sweden	0	1	0	0	2	18.3	0	0	0	18.3
SYR	Syria	550	274	0	1	1100	18430.71	2342.39	6864	185306	212943.1
TWN	Taiwan	3036	3407	111	1214	12389	126095.9	0	0	0	126095.9
TZA	Tanzania	389	188	0	0	765	11098.02	1621.25	0	0	12719.27
THA	Thailand	876	677	0	0	2230	31938.52	985	0	2100	35023.52
TGO	Togo	618	500	55	47	1767	22947.51	4958.88	0	0	27906.39
TTO	Trinidad	15	17	0	0	49	508.01	0	0	0	508.01
TUN	Tunisia	5209	4841	53	77	15098	205645.49	572471.62	0	71245	849362.11
TUR	Turkey	4911	12943	592	557	32503	353537.07	8930.17	1224	36428	400119.24
UKR	Ukraine	8	36	0	0	80	1129.15	0	0	0	1129.15
ARE	United Arab Emirates	7981	17209	57	64	42584	478907.1	10185.16	0	66126	555218.26
USA	United States of America	21262	49274	210	205	120430	1399395.11	3175.3	0	265006	1667576.41
URY	Uruguay	403	487	34	462	2335	16901	0	0	0	16901
VEN	Venezuela	880	1678	267	3	4509	51818.4	3058.08	0	0	54876.48
VNM	Vietnam	1083	1082	0	79	3405	49034.9	1326	0	0	50360.9
WSM	West Samoa	0	1	0	0	2	9.66	0	0	0	9.66
YEM	Yemen	610	520	151	28	1857	21391.36	232.75	0	0	21624.11
ZWE	Zimbabwe	1	7	0	0	15	202.07	0	0	0	202.07
