ISO_A3	Nation	"Containers full 20'"	"Containers full 40'"	"Containers empty 20'"	"Containers empty 40'"	TEUS	"Containerised Cargo"	"Conventional Cargo"	"Solid Bulk"	"Liquid Bulk"	TOTAL
NZL	"New Zealand"	0.0000037627	0.0000000000	0.0000000000	0.0000000000	0.0000037627	0.0000813940	0.0000000000	0.0000000000	0.0000000000	0.0000813940
NGA	Nigeria	0.0000012597	0.0000012792	0.0000068831	0.0000157727	0.0000422468	0.0001328444	0.0000006006	0.0000000000	0.0036199416	0.0037533866
NOR	Norway	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0119016200	0.0119016200
OMN	Oman	0.0000000000	0.0000000000	0.0000000000	0.0000053913	0.0000107827	0.0000280653	0.0000000000	0.0000000000	0.0000000000	0.0000280653
PAK	Pakistan	0.0000039261	0.0000035845	0.0000000217	0.0000002061	0.0000115290	0.0001278057	0.0000000000	0.0000000000	0.0000000000	0.0001278057
PAN	Panama	0.0001363366	0.0001064305	0.0000108483	0.0001726930	0.0007054320	0.0061709907	0.0000000000	0.0000000000	0.0000000000	0.0061709907
PNG	"Papua New Guinea"	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0023106547	0.0023106547
PHL	Philippines	0.0000008508	0.0000015816	0.0000000000	0.0000000000	0.0000040140	0.0000408399	0.0000000000	0.0000000000	0.0000000000	0.0000408399
POL	Poland	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000005974	0.0000000000	0.0001291429	0.0001297403
PRT	Portugal	0.0000187336	0.0000118958	0.0000000937	0.0000008430	0.0000443050	0.0006489519	0.0000425581	0.0015006557	0.0003359873	0.0025281529
QAT	Qatar	0.0000011892	0.0000011892	0.0000000000	0.0000000000	0.0000035675	0.0000160537	0.0000000000	0.0000000000	0.0000000000	0.0000160537
REU	Reunion	0.0000231676	0.0000000000	0.0000000000	0.0000000000	0.0000231676	0.0005744271	0.0000000000	0.0000000000	0.0000000000	0.0005744271
ROU	Romania	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0002282407	0.0002282407
RUS	Russia	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000118868	0.0000000000	0.0322251212	0.0322370080
SAU	"Saudi Arabia"	0.0001555664	0.0001622508	0.0000565837	0.0002259075	0.0009884666	0.0088067598	0.0000370110	0.0000000000	0.0000000000	0.0088437708
SEN	Senegal	0.0000194754	0.0000032459	0.0000494999	0.0000521778	0.0001798227	0.0007471648	0.0000860041	0.0000000000	0.0000000000	0.0008331689
SLE	"Sierra Leone"	0.0000000000	0.0000000000	0.0000000000	0.0000003813	0.0000007625	0.0000015251	0.0000000000	0.0000000000	0.0000000000	0.0000015251
SGP	Singapore	0.0030273965	0.0027634140	0.0001146548	0.0004996736	0.0096682265	0.0991236142	0.0001046570	0.0000000000	0.0003233307	0.0995516020
SVN	Slovenia	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0002406577	0.0450503239	0.0000000000	0.0452909816
ZAF	"South Africa"	0.0000109592	0.0000040816	0.0000003878	0.0000010000	0.0000215102	0.0003869159	0.0004514394	0.0000000000	0.0002344694	0.0010728247
KOR	"South Korea"	0.0001016260	0.0000802104	0.0000013837	0.0000081367	0.0002797039	0.0032608025	0.0002407345	0.0000000000	0.0000000000	0.0035015370
