"locode"	"lon"	"lat"
"USABQ"	106.6521	35.0837
"USAEB"	74.3158	40.5295
"USALB"	73.7550	42.6512
"USALG"	82.5308	42.6183
"USAMN"	84.6586	43.3760
"USAMW"	93.6198	42.0345
"USANC"	149.9003	61.2181
"USARB"	83.7337	42.2676
"USASH"	80.7887	41.8685
"USATL"	84.3902	33.7491
"USATW"	88.4079	44.2609
"USAWR"	84.6745	34.0655
"USBAL"	76.6108	39.2909
"USBAY"	74.1151	40.6598
"USBED"	71.2729	42.4911
"USBHM"	86.8052	33.5199
"USBJT"	75.8741	39.0346
"USBNA"	86.7743	36.1622
"USBNC"	122.1563	38.0496
"USBNI"	93.2772	44.7676
"USBOS"	71.0641	42.3595
"USBOY"	73.9496	40.6501
"USBRO"	97.4872	25.9170
"USBTL"	85.1819	42.3194
"USBTR"	91.1544	30.4509
"USBUF"	78.8754	42.8839
"USBVF"	75.4272	43.8871
"USBWG"	86.4460	36.9892
"USCCO"	81.3784	40.7988
"USCDE"	75.1198	39.9460
"USCHA"	85.3097	35.0456
"USCHI"	87.6251	41.8758
"USCHS"	79.9403	32.7876
"USCID"	91.6752	41.9747
"USCLE"	81.6811	41.4949
"USCLT"	80.8414	35.2258
"USCLW"	82.7998	27.9664
"USCMH"	82.9989	39.9630
"USCNX"	84.4920	34.2370
"USCR5"	80.5619	40.6144
"USCRO"	119.5602	36.0979
"USCRP"	97.3930	27.8006
"USCSF"	76.5931	34.8497
"USCVG"	84.5136	39.1019
"USCVJ"	79.9943	37.7934
"USDAB"	81.0228	29.2108
"USDAL"	96.8000	32.7801
"USDAY"	84.1905	39.7593
"USDEC"	88.9524	39.8454
"USDEN"	104.9842	39.7386
"USDET"	83.0567	42.3493
"USDLH"	92.1236	46.7730
"USDSM"	93.6038	41.5914
"USDVT"	89.8469	29.6087
"USEAE"	74.1400	40.2254
"USEDM"	122.3782	47.8104
"USEDN"	74.3511	40.5064
"USEGG"	74.6468	39.5299
"USELP"	106.4873	31.7600
"USENW"	87.8209	42.5840
"USERI"	80.0849	42.1297
"USEVV"	87.5589	37.9741
"USEWR"	74.1728	40.7355
"USFAT"	119.7818	36.7397
"USFGT"	77.3079	42.9846
"USFLL"	80.1434	26.1223
"USFPO"	95.3597	28.9542
"USFPR"	80.3256	27.4467
"USFRP"	95.3588	28.9559
"USFSO"	83.4166	41.1565
"USFWA"	85.1370	41.0811
"USGBO"	79.7911	36.0727
"USGBQ"	102.2042	42.8040
"USGEG"	117.4240	47.6578
"USGHN"	86.2285	43.0633
"USGLS"	94.7976	29.2990
"USGPT"	89.0928	30.3674
"USGRB"	88.0189	44.5351
"USGRO"	80.0881	41.1581
"USGRR"	85.6682	42.9636
"USGSP"	81.9310	34.9504
"USHAR"	76.8870	40.2667
"USHID"	98.2496	26.1027
"USHNL"	157.8557	21.3045
"USHNU"	92.5566	45.1926
"USHOU"	95.3659	29.7580
"USHSY"	78.4545	36.8002
"USHUO"	81.4383	41.2405
"USHVN"	72.9231	41.3098
"USICT"	97.3384	37.6938
"USIND"	86.1580	39.7684
"USINT"	81.1954	35.4340
"USJAX"	81.6557	30.3322
"USJBK"	122.2729	37.8708
"USJYN"	85.5983	38.2563
"USKCK"	94.7495	39.1147
"USKTG"	79.5226	40.8184
"USLAS"	115.1599	36.1449
"USLAX"	118.2427	34.0537
"USLBB"	101.8538	33.5779
"USLCO"	87.9087	42.1894
"USLGB"	118.1739	33.7762
"USLIT"	92.2896	34.7465
"USLKZ"	88.0937	42.1965
"USLRD"	99.5088	27.5063
"USLUI"	85.7634	38.2455
"USMAO"	86.7454	34.7141
"USMCH"	84.1445	33.4468
"USMEG"	77.0020	40.2106
"USMEM"	90.0509	35.1494
"USMES"	93.2656	44.9770
"USMGK"	86.2476	43.2339
"USMIA"	80.1937	25.7743
"USMKC"	94.5630	39.0845
"USMKE"	87.9217	43.0344
"USMKT"	93.9961	44.1654
"USMME"	87.6610	41.1644
"USMMI"	84.5911	35.4428
"USMNN"	88.9314	37.7309
"USMNR"	80.5502	34.9865
"USMOB"	88.0439	30.6952
"USMRY"	121.8919	36.6012
"USMSN"	89.3854	43.0757
"USMSY"	90.0694	29.9478
"USNEG"	80.5390	40.7901
"USNKG"	74.6818	42.2139
"USNYC"	73.9866	40.7306
"USOAC"	87.8713	42.8852
"USOAK"	122.2703	37.8037
"USOCR"	122.6048	45.3579
"USOFO"	83.1499	41.2401
"USOGG"	156.4695	20.8912
"USOKC"	97.5193	35.4702
"USOMA"	96.1266	41.2052
"USOOA"	92.6420	41.2953
"USOOU"	71.8784	41.7155
"USORF"	76.2904	36.9100
"USORH"	71.8002	42.2617
"USORL"	81.3790	28.5421
"USOSD"	102.3676	31.8460
"USOWA"	93.2242	44.0847
"USPAB"	80.0365	26.7056
"USPAT"	74.1730	40.9175
"USPBI"	80.0552	26.7152
"USPCJ"	87.5679	38.3537
"USPCR"	96.5615	28.6795
"USPDX"	122.6723	45.5205
"USPEF"	80.1273	26.0969
"USPHL"	75.1748	39.9428
"USPHN"	82.4370	42.9824
"USPHX"	112.0708	33.4477
"USPIA"	89.5857	40.6932
"USPIT"	79.9926	40.4407
"USPLV"	96.6240	28.6154
"USPTM"	76.2992	36.8355
"USPWM"	70.2504	43.6635
"USQMU"	75.1719	39.7940
"USRAC"	87.7846	42.7269
"USRCH"	122.3466	37.9344
"USRLL"	88.0917	41.9750
"USRNO"	119.8138	39.5291
"USROC"	77.6144	43.1579
"USROM"	117.0660	38.7116
"USROU"	83.3942	42.2229
"USSAC"	121.2981	38.4732
"USSAN"	117.2103	32.7460
"USSAT"	98.4946	29.4247
"USSAV"	81.0998	32.0835
"USSCK"	121.2923	37.9572
"USSEA"	122.3306	47.6052
"USSFO"	122.4183	37.7793
"USSGF"	93.2942	37.2154
"USSGH"	89.6440	39.8028
"USSLC"	111.8904	40.7670
"USSLM"	70.8945	42.5189
"USSMF"	78.3385	35.5089
"USSPQ"	118.2819	33.7319
"USSTL"	90.1950	38.6275
"USSTP"	170.2782	57.1246
"USSUT"	77.9461	34.0007
"USSVK"	74.4764	41.3908
"USSYM"	72.5743	42.2584
"USSYR"	76.1489	43.0486
"USTIW"	122.4371	47.2507
"USTOL"	83.5086	41.6801
"USTPA"	82.4584	27.9478
"USTUL"	95.9902	36.1524
"USTXT"	94.9048	29.3963
"USTYS"	83.9210	35.9604
"USUBS"	88.4273	33.4957
"USUFB"	82.7144	36.5217
"USUJV"	73.8058	40.6916
"USURB"	88.2071	40.1122
"USUZD"	77.5355	35.8967
"USVEA"	93.7947	36.9645
"USWAU"	123.4041	46.1601
"USWCL"	72.6267	41.9292
"USWDD"	87.9779	41.9635
"USWLZ"	86.6028	41.0515
"USWSH"	72.8675	40.8005
"USWUP"	89.0859	44.3580
"USWXD"	80.0559	40.6265
"USXCA"	81.5364	41.3937
"USXLY"	93.3363	44.7777
"USXOD"	87.7336	40.7755
"UYMVD"	56.1730	34.8561
"VCKTN"	61.2249	13.1562
"VCSVD"	61.2243	13.1506
"VEEGU"	63.9045	10.7422
"VEGUB"	70.1709	11.5876
"VEGUT"	64.5971	10.2393
"VELAG"	66.9398	10.5999
"VEMAR"	71.6619	10.7319
"VEPBL"	68.1700	10.4704
"VICHA"	64.9328	18.3411
"VNCLI"	106.7891	10.7588
"VNCLN"	107.0556	20.9720
"VNDAD"	108.2500	16.0600
"VNHPH"	106.6781	20.8320
"VNSGN"	106.6931	10.7820
"VNTCT"	106.7110	10.7842
"VNUIH"	109.2335	13.7722
"VNVNH"	105.6916	18.6742
"VNVUT"	107.0850	10.3554
"WSAPW"	171.7693	13.8344
"YEADE"	44.9166	12.8332
"YEHOD"	42.9741	14.7600
"ZACPT"	37.2164	19.6158
"ZADUR"	39.2664	6.7981
"ZAELS"	27.9001	33.0193
"ZAGRM"	28.1805	26.2294
"ZAJNB"	39.0900	5.0700
"ZAPLZ"	39.2000	6.1600
"ZAPRY"	18.4330	33.9181
"ZARCB"	32.0556	28.7747
"ZASDB"	18.0097	33.0347
"ZAZBA"	45.0164	10.4356
"ZRBOA"	13.0500	5.8300
"ZRKMN"	24.9973	8.7370
"ZRMAT"	13.4608	5.8258
"ZWHRE"	31.0428	17.8158
