"id"	"port"	"nation"	"quantity"
1	"Shanghai"	"China"	"144626"
2	"Singapore"	"Singapore"	"76493"
3	"Hong Kong"	"China"	"62343"
4	"Ningbo"	"China"	"51713"
5	"Cagliari"	"Italy"	"44884"
6	"New York"	"United States of America"	"41822"
7	"Jeddah"	"Saudi Arabia"	"41445"
8	"Pusan"	"South Korea"	"39444"
9	"Alexandria"	"Egypt"	"32426"
10	"Jebel Ali"	"United Arab Emirates"	"31964"
11	"Savannah"	"United States of America"	"27712"
12	"Montreal"	"Canada"	"27208"
13	"Port Kelang"	"Malaysia"	"27037"
14	"Qingdao"	"China"	"26823"
15	"Kaohsiung"	"Taiwan"	"26560"
16	"Jawaharlal Neru (Nhava Sheva)"	"India"	"24510"
17	"Yantian Huangdong"	"China"	"24464"
18	"Shekou"	"China"	"24017"
19	"Valencia"	"Spain"	"23501"
20	"Livorno"	"Italy"	"23346"
21	"Santos"	"Brazil"	"22072"
22	"Gioia Tauro"	"Italy"	"22006"
23	"Khor al Fakkan"	"United Arab Emirates"	"21701"
24	"Tanjong Pelepas"	"Malaysia"	"21484"
25	"Tunis"	"Tunisia"	"19819"
26	"Newark"	"United States of America"	"18282"
27	"Port Said"	"Egypt"	"17361"
28	"Algeciras"	"Spain"	"17064"
29	"Damietta"	"Egypt"	"16251"
30	"Houston"	"United States of America"	"16207"
31	"Malta"	"Malta"	"15698"
32	"Barcelona"	"Spain"	"15324"
33	"Buenos Aires"	"Argentina"	"15187"
34	"Norfolk"	"United States of America"	"15056"
35	"Napoli"	"Italy"	"14934"
36	"Xiamen"	"China"	"14695"
37	"Istanbul"	"Turkey"	"14361"
38	"Gemlik"	"Turkey"	"14292"
39	"Haifa"	"Israel"	"14030"
40	"Piraeus"	"Greece"	"13959"
41	"Ashdod"	"Israel"	"13888"
42	"Colombo"	"Sri Lanka"	"13803"
43	"Alger"	"Algeria"	"13462"
44	"Casablanca"	"Morocco"	"13313"
45	"Las Palmas"	"Spain"	"12430"
46	"Veracruz"	"Mexico"	"11491"
47	"Rades"	"Tunisia"	"11443"
48	"Chiwan"	"China"	"11279"
49	"Bandar Abbas"	"Iran"	"10955"
50	"Durban"	"South Africa"	"10763"
51	"Fos-sur-Mer"	"France"	"10690"
52	"Marseille"	"France"	"10215"
53	"Massawa"	"Eritrea"	"10057"
54	"Los Angeles"	"United States of America"	"9546"
55	"Dakar"	"Senegal"	"9267"
56	"Tokyo"	"Japan"	"8742"
57	"Altamira"	"Mexico"	"8656"
58	"Port Everglades"	"United States of America"	"8633"
59	"Abidjan"	"Ivory Coast"	"8093"
60	"Tianjinxingang"	"China"	"7875"
61	"Beirut"	"Lebanon"	"7581"
