"id"	"port"	"nation"	"quantity"
"1 "	"Novorossiysk"	"Russia"	"4360659"
"2 "	"Taranto"	"Italy"	"3348987"
"3 "	"Ceyhan"	"Turkey"	"2038546"
"4 "	"Palermo"	"Italy"	"1873263"
"5 "	"Porto Torres"	"Italy"	"1399715"
"6 "	"Shanghai"	"China"	"1310122"
"7 "	"Cagliari"	"Italy"	"1156357"
"8 "	"Catania"	"Italy"	"1125597"
"9 "	"Singapore"	"Singapore"	"888937"
"10 "	"Rades"	"Tunisia"	"888127"
"11 "	"Malta"	"Malta"	"870504"
"12 "	"New York"	"United States of America"	"722183"
"13 "	"Barcelona"	"Spain"	"702240"
"14 "	"Houston"	"United States of America"	"696142"
"15 "	"Hong Kong"	"China"	"605208"
"16 "	"Milazzo"	"Italy"	"581887"
"17 "	"Livorno"	"Italy"	"548428"
"18 "	"Jeddah"	"Saudi Arabia"	"464244"
"19 "	"Jebel Ali"	"United Arab Emirates"	"452030"
"20 "	"Busan (Pusan)"	"South Korea"	"450712"
"21 "	"Ningbo"	"China"	"447702"
"22 "	"Abo Terminal"	"Nigeria"	"434774"
"23 "	"Port Kelang"	"Malaysia"	"432633"
"24 "	"Alexandria"	"Egypt"	"431061"
"25 "	"Tunis "	"Tunisia"	"429372"
"26 "	"La Skirra"	"Tunisia"	"390936"
"27 "	"Porto Foxi"	"Italy"	"380238"
"28 "	"Moudi Terminal"	"Cameroon"	"355742"
"29 "	"Batumi"	"Georgia"	"344830"
"30 "	"Termini Imerese"	"Italy"	"334332"
"31 "	"Augusta"	"Italy"	"330119"
"32 "	"Jawaharlal Neru (Nhava Sheva)"	"India"	"310655"
"33 "	"Tuapse"	"Russia"	"308939"
"34 "	"Olbia"	"Italy"	"297845"
"35 "	"Skikda"	"Algeria"	"287176"
"36 "	"Sidi Kerir Terminal"	"Egypt"	"286705"
"37 "	"Savannah"	"United Arab Emirates"	"280893"
"38 "	"Qingdao"	"China"	"279263"
"39 "	"Algeciras"	"Spain"	"276613"
"40 "	"Montreal"	"Canada"	"273893"
"41 "	"Santos"	"Brazil"	"273025"
"42 "	"Piraeus"	"Greece"	"269430"
"43 "	"Kaohsiung"	"Taiwan"	"264109"
"44 "	"Gioia Tauro"	"Italy"	"258950"
"45 "	"Tartous"	"Syria"	"255223"
"46 "	"Zawia Terminal"	"Libya"	"248560"
"47 "	"Khor al Fakkan"	"United Arab Emirates"	"247725"
"48 "	"Kulevi"	"Georgia"	"237364"
"49 "	"Port Said"	"Egypt"	"234310"
"50 "	"Tanjong Pelepas"	"Malaysia"	"210705"
"51 "	"Baniyas"	"Syria"	"210279"
"52 "	"Valencia"	"Spain"	"209864"
"53 "	"Shekou"	"China"	"207283"
"54 "	"Dumai, Sumatra"	"Indonesia"	"203796"
"55 "	"Newark"	"United States of America"	"200084"
"56 "	"Damietta"	"Egypt"	"198140"
"57 "	"Alger"	"Algeria"	"195132"
"58 "	"Las Palmas"	"Spain"	"193387"
"59 "	"Fos-sur-Mer"	"France"	"193196"
"60 "	"Buenos Aires"	"Argentina"	"185072"
"61 "	"Tess/Hartlepool"	"England"	"185039"
