"id"	"port"	"nation"	"quantity"
1	"Singapore"	"Singapore"	"139914"
2	"Shanghai"	"China"	"131081"
3	"Jeddah"	"Saudi Arabia"	"72771"
4	"Hong Kong"	"China"	"72337"
5	"Algeciras"	"Spain"	"70412"
6	"New York"	"United States of America"	"68644"
7	"Jebel Ali"	"United Arab Emirates"	"67916"
8	"Gioia Tauro"	"Italy"	"55466"
9	"Busan (Pusan)"	"South Korea"	"53843"
10	"Malta"	"Malta"	"52861"
11	"Ningbo"	"China"	"51843"
12	"Montreal"	"Canada"	"48487"
13	"Valencia"	"Spain"	"38845"
14	"Tunis"	"Tunisia"	"37567"
15	"Alexandria"	"Egypt"	"37449"
16	"Port Said"	"Egypt"	"37116"
17	"Santos"	"Brazil"	"34587"
18	"Napoli"	"Italy"	"33488"
19	"Savannah"	"United States of America"	"33162"
20	"Port Kelang"	"Malaysia"	"32360"
21	"Livorno"	"Italy"	"29170"
22	"Yantian Huangdong"	"China"	"29001"
23	"Norfolk"	"United States of America"	"25687"
24	"Cartagena"	"Colombia"	"24548"
25	"Qingdao"	"China"	"23438"
26	"Alger"	"Algeria"	"23137"
27	"Shenzhen"	"China"	"21692"
28	"Tanjong Pelepas"	"Malaysia"	"21356"
29	"Rio de Janeiro"	"Brasil"	"21193"
30	"Kaohsiung"	"Taiwan"	"20862"
31	"Tangier Med"	"Marocco"	"18692"
32	"Xiamen"	"China"	"18612"
33	"Las Palmas"	"Spain"	"18250"
34	"Jawaharlal Neru (Nhava Sheva)"	"India"	"17965"
35	"Ashdod"	"Israel"	"17683"
36	"Cagliari"	"Italy"	"17502"
37	"Buenos Aires"	"Argentina"	"16991"
38	"Houston"	"United States of America"	"16278"
39	"Suape"	"Brasil"	"15518"
40	"Bandar Abbas"	"Iran"	"15187"
41	"Gemlik"	"Turkey"	"14144"
42	"Casablanca"	"Marocco"	"13938"
43	"Damietta"	"Egypt"	"13898"
44	"Veracruz"	"Mexico"	"13497"
45	"Khor al Fakkan"	"United Arab Emirates"	"12187"
46	"Mersin, Icel"	"Turkey"	"11738"
47	"Istanbul"	"Turkey"	"11693"
48	"Los Angeles"	"United States of America"	"11442"
49	"Barcelona"	"Egypt"	"11291"
50	"Altamira"	"Mexico"	"11120"
51	"Dakar"	"Senegal"	"11015"
52	"Tincan"	"Nigeria"	"10838"
53	"Melbourne"	"Australia"	"10811"
54	"Sydney"	"Australia"	"10757"
55	"Nansha"	"China"	"10550"
56	"Salerno"	"Italy"	"10437"
57	"Misurata"	"Libya"	"10401"
58	"Tripoli"	"Libya"	"9801"
59	"Puerto Moin"	"Costa Rica"	"9777"
60	"Haifa"	"Israel"	"9355"
61	"Oakland"	"United States of America"	"9259"
