"id"	"port"	"nation"	"quantity"
1	"Ceyhan"	"Turkey"	2729161
2	"Taranto"	"Italy"	2265449
3	"Aberdeen"	"Scotland"	2044106
4	"Novorossiysk"	"Russia"	1833746
5	"Cagliari"	"Italy"	1487159
6	"Porto Torres"	"Italy"	1334059
7	"Palermo"	"Italy"	1144645
8	"Tunis"	"Tunisia"	1077472
9	"Singapore"	"Singapore"	1000662
10	"Shanghai"	"China"	982521
11	"Catania"	"Italy"	845593
12	"Barcelona"	"Spain"	803687
13	"Melitah"	"Libya"	720480
14	"Zawia Terminal"	"Libya"	696180
15	"Abidjan"	"Ivory Coast"	674152
16	"Hong Kong"	"China"	644048
17	"Odessa"	"Ukraine"	643943
18	"New York"	"United States of America"	625643
19	"Moudi Terminal"	"Cameroon"	605629
20	"Malta"	"Malta"	583840
21	"Abu Kammash"	"Libya"	578301
22	"Termini Imerese"	"Italy"	552766
23	"Ras Lanuf"	"Libya"	527086
24	"Alexandria"	"Egypt"	506234
25	"Livorno"	"Italy"	501108
26	"Sidi Kerir Terminal"	"Egypt"	409760
27	"Tuapse"	"Russia"	402353
28	"Houston"	"United States of America"	393245
29	"Batumi"	"Georgia"	373638
30	"Fos-sur-Mer"	"France"	358248
31	"Santa Panagia"	"Italy"	354559
32	"Yuzhnyy"	"Ukraine"	340474
33	"Algeciras"	"Spain"	335531
34	"Gioia Tauro"	"Italy"	328943
35	"Busan (Pusan)"	"South Korea"	328134
36	"Olbia"	"Italy"	319314
37	"Ningbo"	"China"	307192
38	"Montreal"	"Canada"	289891
39	"Tarragona"	"Spain"	283783
40	"Augusta"	"Italy"	279506
41	"Koper"	"Slovenia"	259091
42	"Jeddah"	"Saudi Arabia"	247850
43	"Port Kelang"	"Malaysia"	242839
44	"Tanjong Pelepas"	"Malaysia"	238378
45	"Lagos"	"Nigeria"	235208
46	"Bouri Terminal"	"Libya"	233813
47	"Khor al Fakkan"	"United Arab Emirates"	232936
48	"Milazzo"	"Italy"	219123
49	"Kaohsiung"	"Taiwan"	207338
50	"Brass Terminal "	"Nigeria"	200829
51	"Santos"	"Brazil"	199645
52	"Valencia"	"Spain"	197966
53	"La Skirra"	"Tunisia"	195705
54	"Alger"	"Algeria"	194241
55	"Tripoli"	"Libya"	189398
56	"Casablanca "	"Morocco"	184968
57	"Jebel Ali"	"United Arab Emirates"	182283
58	"Skikda"	"Algeria"	178984
59	"Mongstad"	"Norway"	175226
60	"Yantian Huangdong"	"China"	168573
61	"Savannah"	"United States of America"	167172
