id	port	nation	quantity	lon	lat
1	Novorossiysk	Russia	3485473	37.7874	44.7108
2	Taranto	Italy	3184765	17.2997	40.4618
3	Palermo	Italy	2695874	13.3473	38.1373
4	Tunis	Tunisia	1400657	10.1848	36.8001
5	Singapore	Singapore	1399483	103.8528	1.2906
6	Catania	Italy	1234242	15.0306	37.4603
7	"Porto Torres"	Italy	1166564	8.3958	40.829
8	Shanghai	China	1128882	121.4915	31.2246
9	"Zawia Terminal"	Libya	964358	12.7224	32.7706
10	"Jebel Ali"	Italy	869025	55.0687	24.9959
11	Algeciras	Spain	801035	-5.4278	36.1386
12	Ceyhan	Turkey	765643	35.8331	37.0562
13	"Gioia Tauro"	Italy	725580	15.9207	38.4271
14	"Hong Kong"	China	618260	114.1229	22.3434
15	Livorno	Italy	616596	10.3073	43.5457
16	Cagliari	Italy	607233	9.096	39.2204
17	"Primorsk, Koivisto"	Russia	593352	28.622	60.3589
18	Jeddah	"Saudi Arabia"	590841	39.164	21.5822
19	"New York"	"United States of America"	584293	-73.9796	40.6979
20	Malta	Malta	563322	14.5244	35.918
21	"Port Kelang"	Malaysia	505262	101.3006	2.941
22	Arzew	Algeria	486994	-0.3082	35.8547
23	Santos	Brazil	462377	-46.29	-23.8643
24	"Ras Lanuf"	Libya	445361	18.4173	30.5869
25	Pusan	"South Korea"	439469	129.0752	35.18
26	"Es Sider"	Libya	411159	18.3657	30.6368
27	Alexandria	Egypt	388327	29.8944	31.199
28	Barcelona	Spain	381014	2.1889	41.3996
29	Montreal	Canada	370271	-73.6554	45.5027
30	Bejaia	Algeria	366877	5.0778	36.7414
31	"Abo Terminal"	Nigeria	357977	5.684	4.7849
32	Ningbo	China	356761	121.5499	29.872
33	Gela	Italy	354037	14.2508	37.0666
34	Milazzo	Italy	350267	15.2734	38.2144
35	Savannah	"United States of America"	325907	-81.098	31.9996
36	Fos-sur-Mer	France	325200	4.9456	43.4381
37	"Rio de Janeiro"	Brazil	319823	-42.756	-22.239
38	Alger	Algeria	315451	3.0601	36.7753
39	Olbia	Italy	313943	9.5397	40.9206
40	"La Skirra"	Tunisia	308802	10.1654	34.3343
41	Kerch	Ukraine	307193	36.5014	45.3617
42	Houston	"United States of America"	301630	-94.9171	29.7232
43	Valencia	Spain	300132	-0.3525	39.4228
44	"Las Palmas"	Spain	290340	-15.4357	28.0514
45	"Tangier Med"	Morocco	272241	-5.7878	35.7913
46	Norfolk	"United States of America"	265119	-76.196	37.0127
47	"Marsa el Brega"	Libya	260246	19.6944	30.3613
48	Batumi	Georgia	250318	41.6568	41.6658
49	Haifa	Israel	245764	34.9885	32.8184
50	"Sidi Kerir Terminal"	Egypt	242189	29.6734	31.0516
51	Cartagena	Spain	235044	-75.518	10.4162
52	"Khor al Fakkan"	"United Arab Emirates"	230101	56.3709	25.3584
53	Cartagena	Colombia	223070	-75.518	10.4162
54	Augusta	Italy	216448	15.2059	37.224
55	"Buenos Aires"	Argentina	210672	-58.446	-34.6129
56	Rotterdam	Netherlands	204287	4.4261	51.9233
57	"New Orleans"	"United States of America"	202879	-90.0261	30.0175
58	Napoli	Italy	202858	14.2461	40.8529
59	"Jawaharlal Neru (Nhava Sheva)"	India	201856	72.9644	18.9629
60	Damietta	Egypt	199792	31.8214	31.4167
61	Fujairah	"United Arab Emirates"	196178	56.3519	25.1224
