"id"	"port"	"nation"	"quantity"
1	"Taranto"	"Italy"	2945225
2	"Novorossiysk"	"Russia"	2832119
3	"Palermo"	"Italy"	2752753
4	"Singapore"	"Singapore"	1637105
5	"Tunis"	"Tunisia"	1572568
6	"Ceyhan"	"Turkey"	1512870
7	"Catania"	"Italy"	1379693
8	"Shanghai"	"China"	1358103
9	"Porto Torres"	"Italy"	1283098
10	"Malta"	"Malta"	1177524
11	"Algeciras"	"Spain"	"971979"
12	"Jebel Ali"	"United Arab Emirates"	"964885"
13	"Hong Kong"	"China"	"806715"
14	"Jeddah"	"Saudi Arabia"	"796421"
15	"Primorsk, Koivisto"	"Russia"	"744844"
16	"Gioia Tauro"	"Italy"	"696756"
17	"New York"	"United States of America"	"677388"
18	"Sidi Kerir Terminal"	"Egypt"	"654087"
19	"Busan (Pusan)"	"South Korea"	"582367"
20	"Houston"	"United States of America"	"582187"
21	"Cagliari"	"Italy"	"581608"
22	"Port Kelang"	"Malaysia"	"510605"
23	"Livorno"	"Italy"	"508440"
24	"Zawia Terminal"	"Libya"	"481098"
25	"Ningbo"	"China"	"467969"
26	"Santos"	"Brasil"	"425331"
27	"Napoli"	"Italy"	"412325"
28	"Montreal"	"Canada"	"411162"
29	"Gela"	"Italy"	"410395"
30	"Uts'-Luga"	"Russia"	"400273"
31	"Alexandria"	"Egypt"	"398131"
32	"Barcelona"	"Spain"	"387404"
33	"Milazzo"	"Italy"	"385855"
34	"Marsa el Brega"	"Libya"	"349050"
35	"Port Said"	"Egypt"	"317285"
36	"Olbia"	"Italy"	"313685"
37	"Savannah"	"United States of America"	"309790"
38	"Valencia"	"Spain"	"300526"
39	"Cartagena"	"Colombia"	"279460"
40	"Cartagena"	"Spain"	"272560"
41	"Moudi Terminal"	"Camerun"	"271967"
42	"Norfolk"	"United States of America"	"266164"
43	"Las Palmas"	"Spain"	"262208"
44	"Batumi"	"Georgia"	"259636"
45	"Qingdao"	"China"	"251351"
46	"Ashkelon"	"Israel"	"249465"
47	"Kaohsiung"	"Taiwan"	"241237"
48	"Es Sider"	"Libya"	"239811"
49	"Tanjong Pelepas"	"Malaysia"	"236909"
50	"Tangier Med"	"Marocco"	"236730"
51	"Fos-sur-Mer"	"France"	"229427"
52	"Rio de Janeiro"	"Brasil"	"229233"
53	"Augusta"	"Italy"	"227934"
54	"Bejaia"	"Algeria"	"225344"
55	"Jawaharlal Neru (Nhava Sheva)"	"India"	"216564"
56	"Yantian Huangdong"	"China"	"204420"
57	"Arzew"	"Algeria"	"200873"
58	"Marsa el Hariga"	"Libya"	"198549"
59	"Porto Foxi"	"Italy"	"196328"
60	"Xiamen"	"China"	"194843"
61	"Alger"	"Algeria"	"187536"
